id;nom;description;valeur;etat;quantite;date_acquisition;type_amortissement;duree_amortissement
1;firewall Vélocipèdraisiavaporianna;infrastructures Impasse system;compactes index;bleu guide metrics;parallelism envisioneer;2023-08-18T03:20:45;bus Longtail;Smart embrace Montreuil
2;facture;Béton;facture;program outre;Mérignac second Centre;2023-08-17T18:25:06;Petit;Lofi deliverables
3;solutions Avon Rap;Titanium abîmer;Lituanie HTTP;Ergonomique;Gravel Pizza;2023-08-18T00:23:42;vert;Alsace
4;Nord;c;Aubervilliers flexibility;c;Metal;2023-08-17T11:22:43;Jeux;visionary de Pratique
5;partenaire quand Account;Rock a;sauvage;redefine jaune diplomate;asymmetric c;2023-08-17T14:17:23;Dijon eaque;national coulomb
6;de;initiatives;panel Métal Hybride;rubis Femme écarlate;Tricycle discrete;2023-08-17T23:22:40;Rap Ouest cobalt;Graphical népalaise generate
7;b schemas programming;Tunisie avare;copying Femme;Hybride;a;2023-08-17T15:45:08;givré Producteur Ripples;Cambridgeshire Account ability
8;Le Ordinateur Essence;Avon viral;délégation Hybride executive;lumen;Profound Rosalie Coton;2023-08-17T18:20:59;Chaise Homme;Erbium
9;Salade contre dynamique;SUV;Berkshire;de;kilogram;2023-08-18T02:56:23;a b haptic;b compacts Volkswagen
10;Serviettes a Longtail;Variété backing Kia;seamless commissionnaire Funk;Balanced Berkshire Générique;Secured;2023-08-17T11:45:43;Hybride Gants Technicien;Congelé frapper Aquitaine
