id;date_maintenance;description;responsable;cout_maintenance
1;2023-08-17T20:00:01;Berlines;synthesize synergy circulaire;methodologies Manager Industrie
2;2023-08-18T05:47:10;wireless Neon;Cambridgeshire;backing Ouest
3;2023-08-17T17:27:57;facture isabelle;Vélocar la;Pizza
4;2023-08-18T10:35:20;Générique;motivating Jazz;impactful
5;2023-08-17T23:02:55;c;horrible hertz;Shekel concurrence c
6;2023-08-17T19:02:34;Nissan c Berkelium;Cambridgeshire Fluorine incognito;connecting
7;2023-08-18T02:09:44;Vélo;cacao hertz Specialiste;siemens newton Advanced
8;2023-08-17T19:32:14;UTF8 Homme Berkelium;parsing b;EXE
9;2023-08-17T11:49:23;repurpose Homme hard;Savoureux Country connecting;Forint 1080p Designer
10;2023-08-17T20:45:22;puis;calculating;Table
